case	phase	verdict	max_gpu_use	inference_library	inference_compute	gpulayers	json	journal	rocm_smi
r1_w0_k0	first	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w0_k0_first_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w0_k0_first_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w0_k0_first_20260320_193844.log
r1_w0_k0	second	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w0_k0_second_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w0_k0_second_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w0_k0_second_20260320_193844.log
r1_w1_k0	first	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w1_k0_first_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w1_k0_first_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w1_k0_first_20260320_193844.log
r1_w1_k0	second	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w1_k0_second_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w1_k0_second_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w1_k0_second_20260320_193844.log
r1_w0_k1	first	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w0_k1_first_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w0_k1_first_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w0_k1_first_20260320_193844.log
r1_w0_k1	second	UNSURE	0	unknown	unknown	unknown	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w0_k1_second_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w0_k1_second_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w0_k1_second_20260320_193844.log
r1_w1_k1	first	CPU	0	cpu	""	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w1_k1_first_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w1_k1_first_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w1_k1_first_20260320_193844.log
r1_w1_k1	second	UNSURE	0	unknown	unknown	unknown	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r1_w1_k1_second_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r1_w1_k1_second_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r1_w1_k1_second_20260320_193844.log
r0_w0_k0	first	UNSURE	0	unknown	unknown	unknown	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r0_w0_k0_first_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r0_w0_k0_first_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r0_w0_k0_first_20260320_193844.log
r0_w0_k0	second	CPU	0	unknown	unknown	GPULayers:[] MultiUserCache:false ProjectorPath: MainGPU:0 UseMmap:false}	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_generate_r0_w0_k0_second_20260320_193844.json	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_journal_r0_w0_k0_second_20260320_193844.log	/home/limonene/ROCm-project/ROCm-MI25-build/vega_path_check_logs/tinyllama_rocm_smi_r0_w0_k0_second_20260320_193844.log
